Date,China: Total Retail Sales of Consumer Goods:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Merchandise Retail:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Catering Revenue:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Retail Sales of the Enterprises (units) excluding Vehicles:PoP GROWTHRATE,China: Retail Sales of the Enterprises (units) above Designated Size:PoP GROWTHRATE,China: Value of Imports and Exports:PoP GROWTHRATE,China: Trade Balance:Combine With Forecast:PoP GROWTHRATE
2/29/80,-8.438739228,,,,,,
3/31/80,-6.923793949,,,,,,
4/30/80,3.136565928,,,,,,
5/31/80,0.118694376,,,,,,
6/30/80,-0.237529803,,,,,,
7/31/80,-2.83407572,,,,,,
8/31/80,-1.168884425,,,,,,
9/30/80,6.75892466,,,,,,
10/31/80,-3.771808327,,,,,,
11/30/80,5.093286908,,,,,,
12/31/80,12.08225517,,,,,,
1/31/81,7.030713139,,,,,,
2/28/81,-17.58362669,,,,,,
3/31/81,2.771796073,,,,,,
4/30/81,0.708256842,,,,,,
5/31/81,-0.108636621,,,,,,
6/30/81,-0.873367997,,,,,,
7/31/81,-3.799339644,,,,,,
8/31/81,-2.071420439,,,,,,
9/30/81,7.232066158,,,,,,
10/31/81,-0.108225119,,,,,,
11/30/81,5.477936042,,,,,,
12/31/81,14.16988704,,,,,,
1/31/82,3.839913293,,,,,,
2/28/82,-24.96035639,,,,,,
3/31/82,12.67778696,,,,,,
4/30/82,-2.15272501,,,,,,
5/31/82,-0.247586163,,,,,,
6/30/82,0.445214685,,,,,,
7/31/82,-4.958020964,,,,,,
8/31/82,-3.483201733,,,,,,
9/30/82,6.798986238,,,,,,
10/31/82,-0.553460532,,,,,,
11/30/82,3.76282015,,,,,,
12/31/82,18.73300494,,,,,,
1/31/83,-2.035072268,,,,,,
2/28/83,-11.16852996,,,,,,
3/31/83,3.922071315,,,,,,
4/30/83,-1.200814963,,,,,,
5/31/83,-1.124871254,,,,,,
6/30/83,-0.226500663,,,,,,
7/31/83,-6.899287149,,,,,,
8/31/83,0.533076135,,,,,,
9/30/83,5.59224858,,,,,,
10/31/83,-1.287966286,,,,,,
11/30/83,8.430710646,,,,,,
12/31/83,18.23215568,,,,,,
1/31/84,-13.86101237,,,,,,
2/29/84,-19.60198393,,,,,,
3/31/84,-1.296776277,,,,,,
4/30/84,-0.452830962,,,,,,
5/31/84,3.02978228,,,,,,
6/30/84,1.408816111,,,,,,
7/31/84,-3.835278311,,,,,,
8/31/84,3.15763777,,,,,,
9/30/84,12.06390257,,,,,,
10/31/84,3.344226987,,,,,,
11/30/84,10.12722366,,,,,,
12/31/84,21.33136045,,,,,,
1/31/85,2.964732785,,,,,,
2/28/85,-5.551083844,,,,,,
3/31/85,-3.847239683,,,,,,
4/30/85,-6.149615222,,,,,,
5/31/85,0.584294496,,,,,,
6/30/85,1.158445664,,,,,,
7/31/85,-4.574602179,,,,,,
8/31/85,0.777114472,,,,,,
9/30/85,11.17440384,,,,,,
10/31/85,0.533501971,,,,,,
11/30/85,6.71758853,,,,,,
12/31/85,18.49033348,,,,,,
1/31/86,-7.446355433,,,,,,
2/28/86,-9.591308688,,,,,,
3/31/86,-3.343419922,,,,,,
4/30/86,-1.775283573,,,,,,
5/31/86,1.056932684,,,,,,
6/30/86,2.169153538,,,,,,
7/31/86,-4.079749943,,,,,,
8/31/86,2.210536641,,,,,,
9/30/86,12.48459847,,,,,,
10/31/86,1.104112163,,,,,,
11/30/86,5.814558075,,,,,,
12/31/86,17.14087501,,,,,,
1/31/87,-7.77593647,,,,,,
2/28/87,-12.19189352,,,,,,
3/31/87,-0.661916877,,,,,,
4/30/87,-1.960341342,,,,,,
5/31/87,1.499511034,,,,,,
6/30/87,2.78358053,,,,,,
7/31/87,-2.527301558,,,,,,
8/31/87,1.372670257,,,,,,
9/30/87,10.35158464,,,,,,
10/31/87,2.628478852,,,,,,
11/30/87,4.381529283,,,,,,
12/31/87,17.55072204,,,,,,
1/31/88,-6.131485285,,,,,,
2/29/88,-1.046731414,,,,,,
3/31/88,-6.88972189,,,,,,
4/30/88,-1.424319672,,,,,,
5/31/88,1.669969744,,,,,,
6/30/88,6.356687771,,,,,,
7/31/88,-1.254963859,,,,,,
8/31/88,8.149134479,,,,,,
9/30/88,7.3186549,,,,,,
10/31/88,-3.316716875,,,,,,
11/30/88,0.77127814,,,,,,
12/31/88,12.50225271,,,,,,
1/31/89,-3.949195681,,,,,,
2/28/89,-3.671601554,,,,,,
3/31/89,-1.062535538,,,,,,
4/30/89,-4.796880889,,,,,,
5/31/89,-0.9353957,,,,,,
6/30/89,-1.472677387,,,,,,
7/31/89,-3.742790227,,,,,,
8/31/89,-0.036677059,,,,,,
9/30/89,7.148426282,,,,,,
10/31/89,-2.524775299,,,,,,
11/30/89,1.494900079,,,,,,
12/31/89,13.75991948,,,,,,
1/31/90,-1.134056155,,,,,,
2/28/90,-13.17949796,,,,,,
3/31/90,0.069372185,,,,,,
4/30/90,-2.599373608,,,,,,
5/31/90,1.973284606,,,,,,
6/30/90,0.104620759,,,,,,
7/31/90,-3.457484712,,,,,,
8/31/90,1.415160205,,,,,,
9/30/90,8.503800938,,,,,,
10/31/90,1.088645084,,,,,,
11/30/90,3.991660741,,,,,,
12/31/90,13.77345037,,,,,,
1/31/91,-3.399020023,,,,,,
2/28/91,-0.631891452,,,,,,
3/31/91,-9.200532147,,,,,,
4/30/91,0.983564099,,,,,,
5/31/91,-2.304998019,,,,,,
6/30/91,1.166874383,,,,,,
7/31/91,-3.382154848,,,,,,
8/31/91,1.634567854,,,,,,
9/30/91,9.082120466,,,,,,
10/31/91,1.724303498,,,,,,
11/30/91,4.069765788,,,,,,
12/31/91,12.27744764,,,,,,
1/31/92,-3.268185025,,,,,,
2/29/92,0.802522981,,,,,,
3/31/92,-4.992213762,,,,,,
4/30/92,-7.208154849,,,,,,
5/31/92,1.40711385,,,,,,
6/30/92,3.724299479,,,,,,
7/31/92,-2.255684561,,,,,,
8/31/92,1.752904989,,,,,,
9/30/92,9.592497468,,,,,,
10/31/92,2.428690803,,,,,,
11/30/92,3.819327783,,,,,,
12/31/92,16.8872528,,,,,,
1/31/93,-4.268434469,,,,,,
2/28/93,-9.049194884,,,,,,
3/31/93,5.421669896,,,,,,
4/30/93,-0.155335815,,,,,,
5/31/93,1.20526826,,,,,,
6/30/93,4.426476096,,,,,,
7/31/93,-4.242332822,,,,,,
8/31/93,-0.399406543,,,,,,
9/30/93,6.418571391,,,,,,
10/31/93,2.649601844,,,,,,
11/30/93,4.767381852,,,,,,
12/31/93,25.05893767,,,,,,
1/31/94,-17.37342464,,,,,,
2/28/94,-2.547694989,,,,,,
3/31/94,0.415061373,,,,,,
4/30/94,0.244839499,,,,,,
5/31/94,3.634957455,,,,,,
6/30/94,5.405010238,,,,,,
7/31/94,-2.338193966,,,,,,
8/31/94,2.722632391,,,,,,
9/30/94,8.217145331,,,,,-2.728101715,198.5130862
10/31/94,3.370832361,,,,,0.612148726,-20.77601304
11/30/94,7.324842922,,,,,14.84495708,75.40559336
12/31/94,21.79471465,,,,,46.03374971,-135.7618561
1/31/95,-19.66436733,,,,,-84.28718832,155.9074073
2/28/95,-6.618550664,,,,,2.20634265,-41.83685129
3/31/95,2.700209926,,,,,36.5891027,39.65795217
4/30/95,0,,,,,-3.821278885,-42.57995897
5/31/95,2.629211496,,,,,8.900866224,-25.26442157
6/30/95,3.824640618,,,,,2.700565527,83.52495219
7/31/95,-1.256650466,,,,,-6.589432327,-99.21484858
8/31/95,1.256650466,,,,,3.021988306,-19.04102241
9/30/95,7.230938324,,,,,-1.630130141,18.16150926
10/31/95,2.302284024,,,,,-1.747159153,18.8632578
11/30/95,6.59462425,,,,,3.811667886,-234.5176514
12/31/95,20.16270277,,,,,38.82976023,
1/31/96,-20.87721342,,,,,-61.61477749,
2/29/96,0.114250116,,,,,-13.86919567,
3/31/96,-2.70933745,,,,,24.92079092,
4/30/96,-0.288384713,,,,,3.489442073,
5/31/96,2.320706766,,,,,8.016683619,-111.1857515
6/30/96,3.501743961,,,,,-4.18223568,220.4604685
7/31/96,-4.009904418,,,,,2.345023254,-18.5267067
8/31/96,1.454703825,,,,,6.287785095,97.30557547
9/30/96,8.362382817,,,,,-6.372102132,4.575961715
10/31/96,3.061583205,,,,,11.23792681,22.25043694
11/30/96,6.389764537,,,,,-4.972727859,-67.08903185
12/31/96,21.82629087,,,,,41.83099353,
1/31/97,-22.10824391,,,,,-57.09761571,
2/28/97,-3.334599153,,,,,-20.93483327,21.38880228
3/31/97,-3.798909967,,,,,35.80849644,32.71472147
4/30/97,-1.437792,,,,,3.405399525,19.40761422
5/31/97,0.363748423,,,,,2.78611786,1.58095097
6/30/97,2.647713005,,,,,-0.588645008,13.34969947
7/31/97,-2.916854042,,,,,6.584675013,-40.75139187
8/31/97,0.089794188,,,,,-4.707175274,59.31208665
9/30/97,6.230990707,,,,,3.431602581,1.646372603
10/31/97,4.720371843,,,,,8.918721067,-2.853630726
11/30/97,4.454932112,,,,,-6.085092682,-5.792079059
12/31/97,16.03501489,,,,,28.25648387,-372.8700948
1/31/98,-14.22123378,,,,,-57.7843837,359.608842
2/28/98,-9.094148063,,,,,-0.5697755,-25.97470702
3/31/98,-1.081565004,,,,,24.22286844,14.84638057
4/30/98,-1.85293342,,,,,1.524909164,16.63168002
5/31/98,0.683847392,,,,,-5.51861588,-16.44024006
6/30/98,2.611481768,,,,,5.083217347,4.304902105
7/31/98,-2.206955867,,,,,2.019398032,9.576212496
8/31/98,0.896550115,,,,,-6.059789564,11.46866893
9/30/98,7.155144336,,,,,2.101791334,-18.25760421
10/31/98,3.732031186,,,,,-2.169965408,-24.93166433
11/30/98,4.480144769,,,,,4.03581452,-10.23893913
12/31/98,16.60907046,,,,,30.91112389,-22.14265024
1/31/99,-16.23649039,,,,,-56.57316872,-40.72726097
2/28/99,-4.758132372,,,,,-7.630653546,43.31207511
3/31/99,-5.477439075,,,,,39.29499395,-163.0781542
4/30/99,-1.945480381,,,,,-1.986636943,76.78167927
5/31/99,0.305033282,,,,,1.942077481,66.51252572
6/30/99,2.704220868,,,,,2.244238059,-85.51931104
7/31/99,-2.017077806,,,,,4.596062963,145.6001563
8/31/99,1.277359161,,,,,1.676389387,36.00505984
9/30/99,7.716380331,,,,,6.34339631,-38.80786705
10/31/99,5.221634097,,,,,-5.524991855,29.41623905
11/30/99,4.112662394,,,,,12.77334352,-54.70764387
12/31/99,16.82559998,,,,,3.446847445,9.254510307
1/31/00,-13.25943714,,,,,-16.1702378,-61.4990415
2/29/00,-5.480063073,,,,,-12.73170726,-11.90970963
3/31/00,-6.567765355,,,,,29.64266959,54.55700154
4/30/00,-2.120084794,,,,,2.406178112,-7.79731262
5/31/00,2.511459854,,,,,-4.709727141,37.72677512
6/30/00,0.314269205,,,,,13.66484112,-50.19676095
7/31/00,-1.842825085,,,,,-3.687837787,4.214395499
8/31/00,1.505799299,,,,,7.387430733,24.55381175
9/30/00,7.945021019,,,,,-0.954481773,-11.32656952
10/31/00,5.950494057,,,,,-4.628352335,52.31828206
11/30/00,2.558351064,,,,,4.847846215,-202.3299816
12/31/00,16.89976718,,,,,-0.885489361,12.26023221
1/31/01,-9.909996066,,,,,-29.41315452,77.69482819
2/28/01,-8.962247289,,,,,14.01383067,-52.21434487
3/31/01,-5.775510886,,,,,16.22769973,112.1386213
4/30/01,-1.93792268,,,,,2.02013362,-90.09563679
5/31/01,3.780991197,,,,,-11.96379339,77.55282892
6/30/01,-0.715964897,,,,,9.009234454,-91.77933618
7/31/01,-1.989614423,,,,,0.941280654,84.56853903
8/31/01,1.323876638,,,,,4.355025763,-31.18189851
9/30/01,8.2186183,,,,,0.26217489,45.35202484
10/31/01,6.491899961,,,,,-9.467543988,59.64120831
11/30/01,2.198345288,,,,,7.29268214,-20.91635592
12/31/01,16.44473958,,,,,4.465631101,-40.08797574
1/31/02,-11.47349745,,,,,-14.22793429,25.72911683
2/28/02,-7.85607182,,,,,-14.86422848,16.61530061
3/31/02,-6.512426198,,,,,27.88429166,-90.07627083
4/30/02,-2.030230265,,,,,12.45471663,-29.09929121
5/31/02,4.794420249,,,,,-10.85523067,81.27426318
6/30/02,-1.361463593,,,,,4.24817248,27.90436918
7/31/02,-1.988747324,,,,,13.46504731,-27.40764204
8/31/02,1.509571477,,,,,0.709222831,-0.904983552
9/30/02,8.494160918,,,,,8.63559797,-3.845736821
10/31/02,6.764007905,,,,,-11.23082192,80.73021659
11/30/02,1.925684928,,,,,8.335404736,-65.47047533
12/31/02,16.53650536,,,,,1.128006121,24.73415111
1/31/03,-11.97318501,,,,,0.276734709,
2/28/03,-5.281113606,,,,,-23.13733027,
3/31/03,-5.878490568,,,,,29.27485156,
4/30/03,-2.547336253,,,,,8.279975653,
5/31/03,1.641910485,,,,,-7.034667838,78.80986803
6/30/03,3.227461174,,,,,2.059621277,-4.119575644
7/31/03,-0.414624491,,,,,11.05258627,-29.330533
8/31/03,1.324670429,,,,,-3.524257374,55.99737618
9/30/03,9.562242957,,,,,14.87579017,-226.5348617
10/31/03,5.691220352,,,,,-9.361285328,298.4287723
11/30/03,-0.040442008,,,,,3.276015785,-16.35247903
12/31/03,11.94023751,,,,,13.91730671,16.10802282
1/31/04,-3.574764572,,,,,-23.52043765,
2/29/04,-8.158677128,,,,,6.415095357,
3/31/04,-3.91276368,,,,,19.11596654,
4/30/04,-1.192323728,,,,,4.522358606,
5/31/04,4.023608649,,,,,-9.640504545,
6/30/04,2.010332886,,,,,12.34547187,-13.24456162
7/31/04,-0.981106937,,,,,0.829638555,9.811785596
8/31/04,1.263015645,,,,,-1.67842315,79.23401671
9/30/04,10.14186304,,,,,8.107891196,10.59839293
10/31/04,5.475086226,,,,,-8.464539491,35.12717512
11/30/04,-0.353811884,,,,,13.35275646,33.29211968
12/31/04,11.35135114,,,,,3.973418052,11.27510263
1/31/05,-4.817103003,,,,,-20.37858869,-53.39019316
2/28/05,-5.6001677,,,,,-12.09810271,-39.90949265
3/31/05,-4.344654013,,,,,32.05690222,27.44552068
4/30/05,-2.870504831,,,,,3.144721112,-22.21410887
5/31/05,4.934857446,,,,,-10.42000595,67.17924891
6/30/05,0.72807464,,,,,12.51222413,7.396491405
7/31/05,-0.002026363,,,,,-1.333270733,8.579654556
8/31/05,2.123239039,,,,,4.524551335,0.454159168
9/30/05,8.631018427,,,,,5.100404285,-33.60003382
10/31/05,6.198531178,,,,,-6.728404806,46.20460276
11/30/05,1.061631666,,,,,7.549510595,-13.19158066
12/31/05,14.78304324,,,,,4.31537647,4.448066234
1/31/06,-3.095414641,,,,,-14.87507944,-14.83546122
2/28/06,-10.12768126,,,,,-13.00586614,-136.503027
3/31/06,-3.478729565,,,,,31.45896508,152.9512085
4/30/06,-0.381980017,,,,,-1.014772375,-6.765954221
5/31/06,6.713705385,,,,,-7.388490724,21.79853918
6/30/06,-1.925934592,,,,,10.5990834,10.90985221
7/31/06,-0.755595973,,,,,-1.406688026,0.824010705
8/31/06,1.07862348,,,,,10.81733801,25.10484496
9/30/06,7.543754404,,,,,3.171566881,-20.57912528
10/31/06,6.556700665,,,,,-9.71722529,44.30504979
11/30/06,-2.547281598,,,,,10.19293448,-3.854445523
12/31/06,9.468764053,,,,,-0.946514513,-8.797930071
1/31/07,-0.145454571,,,,,-6.085492389,-28.00750677
2/28/07,-6.547642327,,,,,-11.3024638,40.50028552
3/31/07,-4.78795049,,,,,13.15464266,-123.9236273
4/30/07,-0.1991272,,,,,10.64057632,88.73714928
5/31/07,7.016615569,,,,,-7.292195085,29.29567707
6/30/07,-1.854320415,,,,,8.19079014,18.26558745
7/31/07,-0.396458071,,,,,6.100425051,-9.507622389
8/31/07,1.677711015,,,,,3.32879703,2.886499536
9/30/07,7.467790538,,,,,1.489499293,-4.513020334
10/31/07,7.467972906,,,,,-6.338340347,12.142965
11/30/07,-1.934357741,,,,,10.33536491,-3.019618453
12/31/07,10.64789937,,,,,-1.282161541,-15.10670311
1/31/08,0.685365759,,,,,-3.00339436,-15.27486338
2/29/08,-8.295253681,,,,,-18.3453994,-86.31698403
3/31/08,-2.810008955,,,,,20.72981067,46.91663951
4/30/08,0.231168487,,,,,7.76250405,23.49369799
5/31/08,6.668939353,,,,,0.036127331,18.1558719
6/30/08,-0.70912061,,,,,0.129499505,4.688051989
7/31/08,-0.152859191,,,,,11.28095028,19.72285765
8/31/08,1.596906869,,,,,-2.803496277,14.48534858
9/30/08,7.456978824,,,,,0.892905422,1.951034846
