date,actuals
1/31/18,
2/28/18,
3/31/18,-1.450206507
4/30/18,
5/31/18,
6/30/18,0.561169489
7/31/18,
8/31/18,
9/30/18,0.112028124
10/31/18,
11/30/18,
12/31/18,0.527471349
1/31/19,
2/28/19,
3/31/19,-1.626625637
4/30/19,
5/31/19,
6/30/19,0.586113533
7/31/19,
8/31/19,
9/30/19,0.056152338
10/31/19,
11/30/19,
12/31/19,0.518880847
1/31/20,
2/29/20,
3/31/20,-2.598284621
4/30/20,
5/31/20,
6/30/20,1.249395327
7/31/20,
8/31/20,
9/30/20,0.242431976
10/31/20,
11/30/20,
12/31/20,0.629858653
1/31/21,
2/28/21,
3/31/21,-1.590458682
4/30/21,
5/31/21,
6/30/21,0.746787653
7/31/21,
8/31/21,
9/30/21,-0.017375651
10/31/21,
11/30/21,
12/31/21,0.633792606
1/31/22,
2/28/22,
3/31/22,-1.716780101
4/30/22,
5/31/22,
6/30/22,0.3690843
7/31/22,
8/31/22,
9/30/22,0.157289807
10/31/22,
11/30/22,
12/31/22,0.389638432
1/31/23,
2/28/23,
3/31/23,-1.51060272
4/30/23,
5/31/23,
6/30/23,0.384809457
7/31/23,
8/31/23,
9/30/23,0.043898913
10/31/23,
11/30/23,
12/31/23,0.408796454
1/31/24,
2/29/24,
3/31/24,-1.509544192
4/30/24,
5/31/24,
6/30/24,0.369398826